nodes,rho,network,beta,lambda,media,factor,physical_infectivity,hidden_infectivity,aware,infected
40,0.2,hiv,0.8,0.0,0,0.01,0.2,0.0,0.9619047619047618,0.0761904761904762
40,0.2,hiv,0.0,0.0,0,0.01,0.0,0.0,0.9619047619047618,0.20000000000000004
40,0.2,hiv,0.4,0.4,0,0.01,0.1,0.1,0.9178571428571429,0.29047619047619044
40,0.2,hiv,0.5,0.1,0,0.01,0.1,0.3,0.8761904761904763,0.49404761904761896
40,0.2,hiv,0.1,0.5,0,0.01,0.0,0.4,0.8047619047619049,0.5452380952380953
40,0.2,hiv,0.5,0.9,0,0.01,0.1,0.5,0.8607142857142857,0.6988095238095239
40,0.2,hiv,0.8,0.1,0,0.01,0.2,0.0,0.9619047619047618,0.10833333333333331
40,0.2,hiv,0.0,0.1,0,0.01,0.0,0.0,0.9619047619047618,0.20000000000000004
40,0.2,hiv,0.6,0.6,0,0.01,0.1,0.7,0.8345238095238094,0.7273809523809525
40,0.2,hiv,0.4,0.5,0,0.01,0.1,0.1,0.9178571428571429,0.29047619047619044
40,0.2,hiv,0.7,0.3,0,0.01,0.1,0.9,0.8,0.7619047619047619
40,0.2,hiv,0.2,0.2,0,0.01,0.0,0.6,0.7988095238095239,0.6428571428571429
40,0.2,hiv,0.5,0.2,0,0.01,0.1,0.3,0.8761904761904763,0.49404761904761896
40,0.2,hiv,0.0,0.8,0,0.01,0.0,0.2,0.7952380952380952,0.20000000000000004
40,0.2,hiv,0.1,0.6,0,0.01,0.0,0.4,0.8047619047619049,0.5452380952380953
40,0.2,hiv,0.8,0.2,0,0.01,0.2,0.0,0.9619047619047618,0.10833333333333331
40,0.2,hiv,0.0,0.2,0,0.01,0.0,0.0,0.9619047619047618,0.20000000000000004
40,0.2,hiv,0.2,1.0,0,0.01,0.0,0.8,0.8226190476190476,0.7773809523809524
40,0.2,hiv,0.4,0.6,0,0.01,0.1,0.1,0.9178571428571429,0.29047619047619044
40,0.2,hiv,0.5,0.3,0,0.01,0.1,0.3,0.8761904761904763,0.49404761904761896
40,0.2,hiv,0.5,1.0,0,0.01,0.1,0.5,0.8607142857142857,0.6988095238095239
40,0.2,hiv,0.1,0.7,0,0.01,0.0,0.4,0.8047619047619049,0.5452380952380953
40,0.2,hiv,0.0,0.3,0,0.01,0.0,0.0,0.9619047619047618,0.20000000000000004
40,0.2,hiv,0.8,0.3,0,0.01,0.2,0.0,0.9619047619047618,0.10833333333333331
40,0.2,hiv,0.6,0.7,0,0.01,0.1,0.7,0.8345238095238094,0.7273809523809525
40,0.2,hiv,0.7,0.4,0,0.01,0.1,0.9,0.8,0.7619047619047619
40,0.2,hiv,0.3,0.0,0,0.01,0.0,0.8,0.9095238095238096,0.8857142857142858
40,0.2,hiv,0.6,0.0,0,0.01,0.1,0.5,0.8952380952380953,0.7488095238095237
40,0.2,hiv,0.2,0.3,0,0.01,0.0,0.6,0.7988095238095239,0.6428571428571429
40,0.2,hiv,0.4,0.7,0,0.01,0.1,0.1,0.9178571428571429,0.29047619047619044
40,0.2,hiv,0.5,0.4,0,0.01,0.1,0.3,0.8761904761904763,0.49404761904761896
40,0.2,hiv,0.0,0.4,0,0.01,0.0,0.0,0.9619047619047618,0.20000000000000004
40,0.2,hiv,0.0,0.9,0,0.01,0.0,0.2,0.7952380952380952,0.20000000000000004
40,0.2,hiv,0.8,0.4,0,0.01,0.2,0.0,0.9619047619047618,0.10833333333333331
40,0.2,hiv,0.1,0.8,0,0.01,0.0,0.4,0.8047619047619049,0.5452380952380953
40,0.2,hiv,0.4,0.8,0,0.01,0.1,0.1,0.9178571428571429,0.29047619047619044
40,0.2,hiv,0.0,0.5,0,0.01,0.0,0.0,0.9619047619047618,0.20000000000000004
40,0.2,hiv,0.6,0.8,0,0.01,0.1,0.7,0.8345238095238094,0.7273809523809525
40,0.2,hiv,0.6,0.1,0,0.01,0.1,0.5,0.8607142857142857,0.6785714285714286
40,0.2,hiv,0.3,0.1,0,0.01,0.0,0.8,0.888095238095238,0.8571428571428571
40,0.2,hiv,0.8,0.5,0,0.01,0.2,0.0,0.9619047619047618,0.10833333333333331
40,0.2,hiv,0.5,0.5,0,0.01,0.1,0.3,0.8761904761904763,0.49404761904761896
40,0.2,hiv,0.3,0.7,0,0.01,0.0,1.0,0.7678571428571429,0.7678571428571429
40,0.2,hiv,0.1,0.9,0,0.01,0.0,0.4,0.8047619047619049,0.5452380952380953
40,0.2,hiv,0.7,0.5,0,0.01,0.1,0.9,0.8,0.7619047619047619
40,0.2,hiv,0.0,0.6,0,0.01,0.0,0.0,0.9619047619047618,0.20000000000000004
40,0.2,hiv,0.4,0.9,0,0.01,0.1,0.1,0.9178571428571429,0.29047619047619044
40,0.2,hiv,0.2,0.4,0,0.01,0.0,0.6,0.7988095238095239,0.6428571428571429
40,0.2,hiv,0.8,0.6,0,0.01,0.2,0.0,0.9619047619047618,0.10833333333333331
40,0.2,hiv,0.5,0.6,0,0.01,0.1,0.3,0.8761904761904763,0.49404761904761896
40,0.2,hiv,0.0,1.0,0,0.01,0.0,0.2,0.7952380952380952,0.20000000000000004
40,0.2,hiv,0.3,0.2,0,0.01,0.0,0.8,0.888095238095238,0.8571428571428571
40,0.2,hiv,0.1,1.0,0,0.01,0.0,0.4,0.8047619047619049,0.5452380952380953
40,0.2,hiv,0.0,0.7,0,0.01,0.0,0.0,0.9619047619047618,0.20000000000000004
40,0.2,hiv,0.6,0.2,0,0.01,0.1,0.5,0.8678571428571429,0.6904761904761906
